ID	ASK	COUNT	CREATED	MAX	MEAN	MEDIAN	MIN	STANDARDDEVIATION	SUM	SYMBOL	VARIANCE
4040	0	50	1498680325024	6.19628796551851	0.478963486562757	0.013520486995182	0.000100000008071	1.2341882584468	23.9481743281379	PINK	1.52322065728795
4170	0	50	1498680336259	6.19628796551851	0.478963486562757	0.013520486995182	0.000100000008071	1.2341882584468	23.9481743281379	PINK	1.52322065728795
4300	0	50	1498680348309	6.19628796551851	0.479295935756452	0.013520486995182	0.000100000008071	1.2341164972657	23.9647967878226	PINK	1.52304352882336
4431	0	50	1498680359698	6.19628796551851	0.479295935756452	0.013520486995182	0.000100000008071	1.2341164972657	23.9647967878226	PINK	1.52304352882336
4560	0	50	1498680370987	6.19628796551851	0.479295935756452	0.013520486995182	0.000100000008071	1.2341164972657	23.9647967878226	PINK	1.52304352882336
4690	0	50	1498680383030	6.19628796551851	0.479295935756452	0.013520486995182	0.000100000008071	1.2341164972657	23.9647967878226	PINK	1.52304352882336
3260	0	50	1498680256079	6.19628796551851	0.464480882714428	0.013520486995182	0.000100000008071	1.23347099473612	23.2240441357214	PINK	1.52145069485531
3393	0	50	1498680267801	6.19628796551851	0.477772639572027	0.018642752269511	0.000100000008071	1.23324015376069	23.8886319786014	PINK	1.52088127684768
3520	0	50	1498680279227	6.19628796551851	0.477772639572027	0.018642752269511	0.000100000008071	1.23324015376069	23.8886319786014	PINK	1.52088127684768
3650	0	50	1498680290770	6.19628796551851	0.477772639572027	0.018642752269511	0.000100000008071	1.23324015376069	23.8886319786014	PINK	1.52088127684768
3775	0	50	1498680302620	6.19628796551851	0.479026118382157	0.018642752269511	0.000100000008071	1.23280001055101	23.9513059191079	PINK	1.51979586601457
3910	0	50	1498680314005	6.19628796551851	0.479026118382157	0.018642752269511	0.000100000008071	1.23280001055101	23.9513059191079	PINK	1.51979586601457
2870	0	50	1498680221433	6.19628796551851	0.479225025420849	0.013520486995182	0.000100000008071	1.23217027908191	23.9612512710425	PINK	1.51824359665278
3130	0	50	1498680244706	6.19628796551851	0.47887661988605	0.013520486995182	0.000100000008071	1.23157432850331	23.9438309943025	PINK	1.51677532662839
3000	0	50	1498680233032	6.19628796551851	0.479563642686049	0.013520486995182	0.000100000008071	1.23144811434277	23.9781821343025	PINK	1.51646445831836
2739	0	50	1498680209531	6.19628796551851	0.479629133382049	0.018642752269511	0.000100000008071	1.23122037850915	23.9814566691025	PINK	1.51590362045621
2610	0	50	1498680197922	6.19628796551851	0.479616235182049	0.018642752269511	0.000100000008071	1.23121829247853	23.9808117591024	PINK	1.51589848373375
2457	0	50	1498680185716	6.19628796551851	0.479251411072049	0.022753917269279	0.000100000008071	1.23116213654468	23.9625705536025	PINK	1.51576020646127
7398	1	50	1498680626885	8.28261608482648	0.36035663825327	0.0084072763148	0.00010214619773	1.22635774624756	18.0178319126635	SYS	1.50395332178139
6097	1	50	1498680508873	8.28261608482648	0.341078905538134	0.00301454330666	0.00010214619773	1.22599987546105	17.0539452769067	SYS	1.50307569463051
6227	1	50	1498680519984	8.28261608482648	0.341146892399436	0.003480412871855	0.00010214619773	1.22599555817318	17.0573446199718	SYS	1.50306510866036
4667	1	50	1498680383030	8.28261608482648	0.355347187336022	0.0084072763148	0.00010214619773	1.22597406203049	17.7673593668011	SYS	1.50301240077153
4797	1	50	1498680394124	8.28261608482648	0.344934291053239	0.00517940069238	0.00010214619773	1.22567102343595	17.246714552662	SYS	1.50226945769052
2847	1	50	1498680221433	8.28261608482648	0.333024929925152	0.00205673476893	0.00010214619773	1.22530336516841	16.6512464962576	SYS	1.50136833669303
5967	1	50	1498680497533	8.28261608482648	0.345714858851277	0.00501884902769	0.00010214619773	1.22512807795785	17.2857429425638	SYS	1.5009388074007
7137	1	50	1498680602467	8.28261608482648	0.338167196173534	0.003172964229376	0.00010214619773	1.2250098153508	16.9083598086767	SYS	1.5006490477058
7267	1	50	1498680614076	8.28261608482648	0.338167196173534	0.003172964229376	0.00010214619773	1.2250098153508	16.9083598086767	SYS	1.5006490477058
2717	1	50	1498680209531	8.28261608482648	0.33491554445827	0.002511144860711	0.00010214619773	1.22484386628834	16.7457772229135	SYS	1.50024249678417
